post_id,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor_number,total_floors,region,added_time
4788554,False,False,True,default,110000,Masazır q.,3,77.0,5,12,Bakı,2024-12-14 02:43:00
4807546,False,False,True,Agentlik,189000,Nəriman Nərimanov m.,2,56.0,12,17,Bakı,2024-12-14 02:37:00
4817283,True,False,True,default,170000,Nərimanov r.,3,70.0,4,5,Bakı,2024-12-14 02:21:00
4632061,False,False,True,Agentlik,170000,Nərimanov r.,2,56.0,6,16,Bakı,2024-12-14 02:16:00
4589465,True,True,True,default,295000,Nərimanov r.,4,110.0,7,9,Bakı,2024-12-14 02:07:00
4498546,False,False,True,default,159000,Biləcəri q.,2,68.5,5,17,Bakı,2024-12-14 02:04:00
4828790,True,False,True,default,94999,Saray q.,2,91.0,12,14,Bakı,2024-12-14 01:50:00
4603064,True,False,True,Agentlik,236999,Əhmədli m.,3,110.0,9,16,Bakı,2024-12-14 01:41:00
4791003,True,False,True,Agentlik,210000,Qara Qarayev m.,3,90.0,13,17,Bakı,2024-12-14 01:41:00
4724892,True,False,False,default,168000,Şah İsmayıl Xətai m.,1,61.0,9,16,Bakı,2024-12-14 01:40:00
4826193,False,False,True,default,145000,Abşeron r.,3,100.0,2,10,Bakı,2024-12-14 01:40:00
4599121,False,False,False,default,320000,Şah İsmayıl Xətai m.,3,137.0,19,21,Bakı,2024-12-14 01:39:00
4724836,False,False,True,default,215000,Şah İsmayıl Xətai m.,2,65.0,12,20,Bakı,2024-12-14 01:39:00
4781797,True,True,True,default,220000,Şah İsmayıl Xətai m.,2,85.0,10,16,Bakı,2024-12-14 01:38:00
4359572,False,False,False,default,150000,Şah İsmayıl Xətai m.,2,53.0,12,20,Bakı,2024-12-14 01:38:00
4724752,True,False,False,default,210000,Şah İsmayıl Xətai m.,3,80.0,15,15,Bakı,2024-12-14 01:37:00
4732398,True,True,True,default,215000,Gənclik m.,3,85.0,4,9,Bakı,2024-12-14 01:37:00
3656354,False,False,False,default,225000,Şah İsmayıl Xətai m.,2,93.0,14,20,Bakı,2024-12-14 01:36:00
4724671,True,False,False,default,190000,Şah İsmayıl Xətai m.,2,70.0,15,15,Bakı,2024-12-14 01:36:00
4279501,True,True,False,default,210000,Şah İsmayıl Xətai m.,3,85.0,8,16,Bakı,2024-12-14 01:35:00
4833659,False,False,True,Agentlik,173500,Nəriman Nərimanov m.,2,67.0,14,17,Bakı,2024-12-14 01:36:00
4544106,True,True,True,default,270000,Şah İsmayıl Xətai m.,3,125.0,19,20,Bakı,2024-12-14 01:34:00
4580955,True,True,True,default,237000,Şah İsmayıl Xətai m.,2,120.0,5,16,Bakı,2024-12-14 01:34:00
4408769,True,True,True,default,305000,Şah İsmayıl Xətai m.,4,110.0,5,16,Bakı,2024-12-14 01:33:00
4828265,True,True,True,default,165000,Şah İsmayıl Xətai m.,2,60.0,8,16,Bakı,2024-12-14 01:32:00
4830482,True,True,False,default,220000,Şah İsmayıl Xətai m.,2,75.0,12,16,Bakı,2024-12-14 01:31:00
4259175,True,True,False,default,320000,Şah İsmayıl Xətai m.,3,120.0,11,16,Bakı,2024-12-14 01:29:00
4828545,False,False,True,default,300000,İnşaatçılar m.,4,176.0,7,19,Bakı,2024-12-14 01:29:00
4816627,True,True,True,default,140000,Əhmədli m.,2,58.0,2,6,Bakı,2024-12-14 01:19:00
4769221,False,False,False,Agentlik,285000,Şah İsmayıl Xətai m.,2,91.0,5,20,Bakı,2024-12-14 01:14:00
4757240,True,True,True,default,499400,Elmlər Akademiyası m.,4,175.0,10,15,Bakı,2024-12-14 01:12:00
4831338,True,True,True,default,410000,Şah İsmayıl Xətai m.,3,142.0,12,16,Bakı,2024-12-14 01:09:00
4575149,True,True,True,Agentlik,133000,Həzi Aslanov m.,3,60.0,2,9,Bakı,2024-12-14 01:08:00
3296506,True,False,True,Agentlik,325000,Nərimanov r.,4,180.0,2,16,Bakı,2024-12-14 01:07:00
4487059,True,False,True,Agentlik,410000,Nərimanov r.,4,212.0,8,14,Bakı,2024-12-14 01:07:00
4741616,True,True,True,Agentlik,268000,Həzi Aslanov m.,3,126.0,8,17,Bakı,2024-12-14 01:07:00
3851828,True,False,True,Agentlik,285000,Xalqlar Dostluğu m.,3,140.0,6,16,Bakı,2024-12-14 01:07:00
3605603,True,False,True,Agentlik,338000,Nəriman Nərimanov m.,4,183.0,5,16,Bakı,2024-12-14 01:06:00
3326648,True,False,True,Agentlik,315000,Nərimanov r.,4,170.0,17,17,Bakı,2024-12-14 01:06:00
4048373,True,False,True,Agentlik,283000,Gənclik m.,4,142.0,1,10,Bakı,2024-12-14 01:06:00
3153010,True,False,True,Agentlik,297000,Nizami m.,3,148.0,13,16,Bakı,2024-12-14 01:06:00
1249996,True,False,False,Agentlik,325000,Nərimanov r.,3,140.0,6,7,Bakı,2024-12-14 01:06:00
3264951,True,False,True,Agentlik,255000,Binəqədi r.,3,133.0,7,16,Bakı,2024-12-14 01:05:00
4744299,False,False,True,default,165000,Neftçilər m.,2,67.0,9,18,Bakı,2024-12-14 01:05:00
4514160,True,False,True,Agentlik,340000,Nəsimi r.,3,146.0,8,16,Bakı,2024-12-14 01:05:00
4503447,True,False,True,Agentlik,340000,Şah İsmayıl Xətai m.,3,155.0,16,18,Bakı,2024-12-14 01:05:00
2163371,True,False,False,Agentlik,272000,Nərimanov r.,3,128.0,15,17,Bakı,2024-12-14 01:05:00
4253840,True,False,True,Agentlik,295000,Nərimanov r.,3,148.0,8,16,Bakı,2024-12-14 01:05:00
4547024,True,False,True,Agentlik,295000,28 May m.,3,141.0,2,16,Bakı,2024-12-14 01:05:00
3309723,True,False,False,Agentlik,305000,Nərimanov r.,4,175.0,7,16,Bakı,2024-12-14 01:05:00
4648073,False,False,True,default,137000,Qara Qarayev m.,2,53.0,6,16,Bakı,2024-12-14 01:05:00
4650512,True,True,True,Agentlik,131000,Həzi Aslanov m.,2,63.0,4,17,Bakı,2024-12-14 01:04:00
4407866,True,True,True,Agentlik,138000,Həzi Aslanov m.,3,80.0,16,16,Bakı,2024-12-14 01:04:00
4177685,True,True,True,Agentlik,106000,Hövsan q.,3,80.0,1,5,Bakı,2024-12-14 01:03:00
4749444,True,True,True,Agentlik,89000,Hövsan q.,3,70.0,5,5,Bakı,2024-12-14 01:03:00
4706440,True,False,True,Agentlik,66000,Hövsan q.,1,30.0,2,4,Bakı,2024-12-14 01:03:00
4751532,True,False,True,Agentlik,320000,Binəqədi r.,3,143.0,10,16,Bakı,2024-12-14 01:02:00
4381733,False,False,False,Agentlik,380000,Nəsimi r.,4,172.0,7,16,Bakı,2024-12-14 01:02:00
3171678,True,False,True,Agentlik,290000,Şah İsmayıl Xətai m.,3,135.0,10,11,Bakı,2024-12-14 01:01:00
4627159,False,False,True,Agentlik,340000,İnşaatçılar m.,4,155.0,11,19,Bakı,2024-12-14 01:01:00
2208549,True,False,False,Agentlik,460000,Şah İsmayıl Xətai m.,4,187.0,10,16,Bakı,2024-12-14 01:01:00
2393606,True,False,False,Agentlik,310000,Elmlər Akademiyası m.,3,133.0,9,16,Bakı,2024-12-14 01:01:00
2629264,True,False,False,Agentlik,440000,Elmlər Akademiyası m.,4,180.0,4,16,Bakı,2024-12-14 01:00:00
4836621,True,False,True,Agentlik,157000,8 Noyabr m.,2,65.0,3,9,Bakı,2024-12-14 00:59:00
4365405,True,False,True,Agentlik,383000,28 May m.,4,200.0,8,16,Bakı,2024-12-14 00:59:00
4836619,True,False,True,default,117000,7-ci mikrorayon q.,2,45.0,2,5,Bakı,2024-12-14 00:59:00
4489265,True,False,True,Agentlik,299000,8 Noyabr m.,3,140.0,6,16,Bakı,2024-12-14 00:59:00
4402759,True,False,True,Agentlik,348000,Nəriman Nərimanov m.,4,170.0,12,17,Bakı,2024-12-14 00:59:00
4297314,True,True,True,default,119800,Bakıxanov q.,2,82.0,13,19,Bakı,2024-12-14 00:57:00
4836618,True,False,True,default,60000,Masazır q.,2,50.0,6,6,Bakı,2024-12-14 00:55:00
4836617,True,True,True,Agentlik,140000,Yeni Yasamal q.,2,75.0,8,10,Bakı,2024-12-14 00:55:00
