post_href,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor,city_and_added_time
/items/4788554,False,False,True,,110 000AZN,Masazır q.,3 otaqlı,77 m²,5/12 mərtəbə,"Bakı, bugün 02:43"
/items/4807546,False,False,True,Agentlik,189 000AZN,Nəriman Nərimanov m.,2 otaqlı,56 m²,12/17 mərtəbə,"Bakı, bugün 02:37"
/items/4817283,True,False,True,,170 000AZN,Nərimanov r.,3 otaqlı,70 m²,4/5 mərtəbə,"Bakı, bugün 02:21"
/items/4632061,False,False,True,Agentlik,170 000AZN,Nərimanov r.,2 otaqlı,56 m²,6/16 mərtəbə,"Bakı, bugün 02:16"
/items/4589465,True,True,True,,295 000AZN,Nərimanov r.,4 otaqlı,110 m²,7/9 mərtəbə,"Bakı, bugün 02:07"
/items/4498546,False,False,True,,159 000AZN,Biləcəri q.,2 otaqlı,68.5 m²,5/17 mərtəbə,"Bakı, bugün 02:04"
/items/4828790,True,False,True,,94 999AZN,Saray q.,2 otaqlı,91 m²,12/14 mərtəbə,"Bakı, bugün 01:50"
/items/4603064,True,False,True,Agentlik,236 999AZN,Əhmədli m.,3 otaqlı,110 m²,9/16 mərtəbə,"Bakı, bugün 01:41"
/items/4791003,True,False,True,Agentlik,210 000AZN,Qara Qarayev m.,3 otaqlı,90 m²,13/17 mərtəbə,"Bakı, bugün 01:41"
/items/4724892,True,False,False,,168 000AZN,Şah İsmayıl Xətai m.,1 otaqlı,61 m²,9/16 mərtəbə,"Bakı, bugün 01:40"
/items/4826193,False,False,True,,145 000AZN,Abşeron r.,3 otaqlı,100 m²,2/10 mərtəbə,"Bakı, bugün 01:40"
/items/4599121,False,False,False,,320 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,137 m²,19/21 mərtəbə,"Bakı, bugün 01:39"
/items/4724836,False,False,True,,215 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,65 m²,12/20 mərtəbə,"Bakı, bugün 01:39"
/items/4781797,True,True,True,,220 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,85 m²,10/16 mərtəbə,"Bakı, bugün 01:38"
/items/4359572,False,False,False,,150 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,53 m²,12/20 mərtəbə,"Bakı, bugün 01:38"
/items/4724752,True,False,False,,210 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,80 m²,15/15 mərtəbə,"Bakı, bugün 01:37"
/items/4732398,True,True,True,,215 000AZN,Gənclik m.,3 otaqlı,85 m²,4/9 mərtəbə,"Bakı, bugün 01:37"
/items/3656354,False,False,False,,225 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,93 m²,14/20 mərtəbə,"Bakı, bugün 01:36"
/items/4724671,True,False,False,,190 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,70 m²,15/15 mərtəbə,"Bakı, bugün 01:36"
/items/4279501,True,True,False,,210 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,85 m²,8/16 mərtəbə,"Bakı, bugün 01:35"
/items/4833659,False,False,True,Agentlik,173 500AZN,Nəriman Nərimanov m.,2 otaqlı,67 m²,14/17 mərtəbə,"Bakı, bugün 01:36"
/items/4544106,True,True,True,,270 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,125 m²,19/20 mərtəbə,"Bakı, bugün 01:34"
/items/4580955,True,True,True,,237 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,120 m²,5/16 mərtəbə,"Bakı, bugün 01:34"
/items/4408769,True,True,True,,305 000AZN,Şah İsmayıl Xətai m.,4 otaqlı,110 m²,5/16 mərtəbə,"Bakı, bugün 01:33"
/items/4828265,True,True,True,,165 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,8/16 mərtəbə,"Bakı, bugün 01:32"
/items/4830482,True,True,False,,220 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,75 m²,12/16 mərtəbə,"Bakı, bugün 01:31"
/items/4259175,True,True,False,,320 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,120 m²,11/16 mərtəbə,"Bakı, bugün 01:29"
/items/4828545,False,False,True,,300 000AZN,İnşaatçılar m.,4 otaqlı,176 m²,7/19 mərtəbə,"Bakı, bugün 01:29"
/items/4816627,True,True,True,,140 000AZN,Əhmədli m.,2 otaqlı,58 m²,2/6 mərtəbə,"Bakı, bugün 01:19"
/items/4769221,False,False,False,Agentlik,285 000AZN,Şah İsmayıl Xətai m.,2 otaqlı,91 m²,5/20 mərtəbə,"Bakı, bugün 01:14"
/items/4757240,True,True,True,,499 400AZN,Elmlər Akademiyası m.,4 otaqlı,175 m²,10/15 mərtəbə,"Bakı, bugün 01:12"
/items/4831338,True,True,True,,410 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,142 m²,12/16 mərtəbə,"Bakı, bugün 01:09"
/items/4575149,True,True,True,Agentlik,133 000AZN,Həzi Aslanov m.,3 otaqlı,60 m²,2/9 mərtəbə,"Bakı, bugün 01:08"
/items/3296506,True,False,True,Agentlik,325 000AZN,Nərimanov r.,4 otaqlı,180 m²,2/16 mərtəbə,"Bakı, bugün 01:07"
/items/4487059,True,False,True,Agentlik,410 000AZN,Nərimanov r.,4 otaqlı,212 m²,8/14 mərtəbə,"Bakı, bugün 01:07"
/items/4741616,True,True,True,Agentlik,268 000AZN,Həzi Aslanov m.,3 otaqlı,126 m²,8/17 mərtəbə,"Bakı, bugün 01:07"
/items/3851828,True,False,True,Agentlik,285 000AZN,Xalqlar Dostluğu m.,3 otaqlı,140 m²,6/16 mərtəbə,"Bakı, bugün 01:07"
/items/3605603,True,False,True,Agentlik,338 000AZN,Nəriman Nərimanov m.,4 otaqlı,183 m²,5/16 mərtəbə,"Bakı, bugün 01:06"
/items/3326648,True,False,True,Agentlik,315 000AZN,Nərimanov r.,4 otaqlı,170 m²,17/17 mərtəbə,"Bakı, bugün 01:06"
/items/4048373,True,False,True,Agentlik,283 000AZN,Gənclik m.,4 otaqlı,142 m²,1/10 mərtəbə,"Bakı, bugün 01:06"
/items/3153010,True,False,True,Agentlik,297 000AZN,Nizami m.,3 otaqlı,148 m²,13/16 mərtəbə,"Bakı, bugün 01:06"
/items/1249996,True,False,False,Agentlik,325 000AZN,Nərimanov r.,3 otaqlı,140 m²,6/7 mərtəbə,"Bakı, bugün 01:06"
/items/3264951,True,False,True,Agentlik,255 000AZN,Binəqədi r.,3 otaqlı,133 m²,7/16 mərtəbə,"Bakı, bugün 01:05"
/items/4744299,False,False,True,,165 000AZN,Neftçilər m.,2 otaqlı,67 m²,9/18 mərtəbə,"Bakı, bugün 01:05"
/items/4514160,True,False,True,Agentlik,340 000AZN,Nəsimi r.,3 otaqlı,146 m²,8/16 mərtəbə,"Bakı, bugün 01:05"
/items/4503447,True,False,True,Agentlik,340 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,155 m²,16/18 mərtəbə,"Bakı, bugün 01:05"
/items/2163371,True,False,False,Agentlik,272 000AZN,Nərimanov r.,3 otaqlı,128 m²,15/17 mərtəbə,"Bakı, bugün 01:05"
/items/4253840,True,False,True,Agentlik,295 000AZN,Nərimanov r.,3 otaqlı,148 m²,8/16 mərtəbə,"Bakı, bugün 01:05"
/items/4547024,True,False,True,Agentlik,295 000AZN,28 May m.,3 otaqlı,141 m²,2/16 mərtəbə,"Bakı, bugün 01:05"
/items/3309723,True,False,False,Agentlik,305 000AZN,Nərimanov r.,4 otaqlı,175 m²,7/16 mərtəbə,"Bakı, bugün 01:05"
/items/4648073,False,False,True,,137 000AZN,Qara Qarayev m.,2 otaqlı,53 m²,6/16 mərtəbə,"Bakı, bugün 01:05"
/items/4650512,True,True,True,Agentlik,131 000AZN,Həzi Aslanov m.,2 otaqlı,63 m²,4/17 mərtəbə,"Bakı, bugün 01:04"
/items/4407866,True,True,True,Agentlik,138 000AZN,Həzi Aslanov m.,3 otaqlı,80 m²,16/16 mərtəbə,"Bakı, bugün 01:04"
/items/4177685,True,True,True,Agentlik,106 000AZN,Hövsan q.,3 otaqlı,80 m²,1/5 mərtəbə,"Bakı, bugün 01:03"
/items/4749444,True,True,True,Agentlik,89 000AZN,Hövsan q.,3 otaqlı,70 m²,5/5 mərtəbə,"Bakı, bugün 01:03"
/items/4706440,True,False,True,Agentlik,66 000AZN,Hövsan q.,1 otaqlı,30 m²,2/4 mərtəbə,"Bakı, bugün 01:03"
/items/4751532,True,False,True,Agentlik,320 000AZN,Binəqədi r.,3 otaqlı,143 m²,10/16 mərtəbə,"Bakı, bugün 01:02"
